SYMBOL,STOCK NAME,LISTING DATE
AIIL.NS,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,2024-04-23
AIRAN.NS,AIRAN LIMITED,2019-05-03
AIROLAM.NS,AIRO LAM LIMITED,2021-10-13
AJANTPHARM.NS,AJANTA PHARMA LIMITED,2000-05-29
AJAXENGG.NS,AJAX ENGINEERING LIMITED,2025-02-17
AJMERA.NS,AJMERA REALTY & INFRA INDIA LIMITED,2009-06-16
AJOONI.NS,AJOONI BIOTECH LIMITED,2021-05-07
AKASH.NS,AKASH INFRA-PROJECTS LIMITED,2019-10-11
AKCAPIT.NS,AK CAPITAL SERVICES LIMITED,2026-04-20
AKG.NS,AKG EXIM LIMITED,2021-02-16
AKI.NS,AKI INDIA LIMITED,2023-04-06
AKSHAR.NS,AKSHAR SPINTEX LIMITED,2022-05-23
AKSHARCHEM.NS,AKSHARCHEM INDIA LIMITED,2017-03-28
AKSHOPTFBR.NS,AKSH OPTIFIBRE LIMITED,2000-08-18
AKUMS.NS,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,2024-08-06
ALANKIT.NS,ALANKIT LIMITED,2015-06-30
ALBERTDAVD.NS,ALBERT DAVID LIMITED,2016-06-14
ALEMBICLTD.NS,ALEMBIC LIMITED,1999-09-22
ALGOQUANT.NS,ALGOQUANT FINTECH LIMITED,2026-01-06
ALICON.NS,ALICON CASTALLOY LIMITED,2006-09-29
ALIVUS.NS,ALIVUS LIFE SCIENCES LIMITED,2021-08-06
ALKALI.NS,ALKALI METALS LIMITED,2008-11-06
ALKEM.NS,ALKEM LABORATORIES LIMITED,2015-12-23
ALKYLAMINE.NS,ALKYL AMINES CHEMICALS LIMITED,2007-11-26
ALLCARGO.NS,ALLCARGO LOGISTICS LIMITED,2006-06-23
ALLDIGI.NS,ALLDIGI TECH LIMITED,2005-05-09
ALLTIME.NS,ALL TIME PLASTICS LIMITED,2025-08-14
ALMONDZ.NS,ALMONDZ GLOBAL SECURITIES LIMITED,2008-06-16
ALOKINDS.NS,ALOK INDUSTRIES LIMITED,2020-02-19
ALPA.NS,ALPA LABORATORIES LIMITED,2007-08-06
ALPHAGEO.NS,ALPHAGEO (INDIA) LIMITED,2007-05-11
AMAGI.NS,AMAGI MEDIA LABS LIMITED,2026-01-21
AMANTA.NS,AMANTA HEALTHCARE LIMITED,2025-09-09
AMBALALSA.NS,AMBALAL SARABHAI ENTERPRISES LIMITED,2026-04-20
AMBER.NS,AMBER ENTERPRISES INDIA LIMITED,2018-01-30
AMBICAAGAR.NS,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED,2004-06-29
AMBIKCO.NS,AMBIKA COTTON MILLS LIMITED,2008-01-29
AMBUJACEM.NS,AMBUJA CEMENTS LIMITED,1998-02-18
AMDIND.NS,AMD INDUSTRIES LIMITED,2007-03-19
AMIRCHAND.NS,AMIR CHAND JAGDISH KUMAR (EXPORTS) LIMITED,2026-04-02
AMJLAND.NS,AMJ LAND HOLDINGS LIMITED,1995-02-08
AMNPLST.NS,AMINES & PLASTICIZERS LIMITED,2023-11-10
AMRUTANJAN.NS,AMRUTANJAN HEALTH CARE LIMITED,2015-01-02
ANANDRATHI.NS,ANAND RATHI WEALTH LIMITED,2021-12-14
ANANTRAJ.NS,ANANT RAJ LIMITED,2006-09-27
ANDHRAPAP.NS,ANDHRA PAPER LIMITED,2004-05-13
ANDHRSUGAR.NS,THE ANDHRA SUGARS LIMITED,1995-11-01
ANGELONE.NS,ANGEL ONE LIMITED,2020-10-05
ANIKINDS.NS,ANIK INDUSTRIES LIMITED,2008-05-21
ANKITMETAL.NS,ANKIT METAL & POWER LIMITED,2013-03-14
ANMOL.NS,ANMOL INDIA LIMITED,2021-06-04
ANSALAPI.NS,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,2006-01-27
ANTELOPUS.NS,ANTELOPUS SELAN ENERGY LIMITED,2006-09-26
ANTGRAPHIC.NS,ANTARCTICA LIMITED,1997-12-31
ANTHEM.NS,ANTHEM BIOSCIENCES LIMITED,2025-07-21
ANUHPHR.NS,ANUH PHARMA LIMITED,2024-12-20
ANUP.NS,THE ANUP ENGINEERING LIMITED,2019-03-01
ANURAS.NS,ANUPAM RASAYAN INDIA LIMITED,2021-03-24
APARINDS.NS,APAR INDUSTRIES LIMITED,2004-07-12
APCL.NS,ANJANI PORTLAND CEMENT LIMITED,2017-04-10
APCOTEXIND.NS,APCOTEX INDUSTRIES LIMITED,1995-09-06
APEX.NS,APEX FROZEN FOODS LIMITED,2017-09-04
APLAPOLLO.NS,APL APOLLO TUBES LIMITED,2011-12-14
APLLTD.NS,ALEMBIC PHARMACEUTICALS LIMITED,2011-09-20
APOLLO.NS,APOLLO MICRO SYSTEMS LIMITED,2018-01-22
APOLLOHOSP.NS,APOLLO HOSPITALS ENTERPRISE LIMITED,1996-01-10
APOLLOPIPE.NS,APOLLO PIPES LIMITED,2019-11-11
APOLLOTYRE.NS,APOLLO TYRES LIMITED,1995-05-31
APOLSINHOT.NS,APOLLO SINDOORI HOTELS LIMITED,2015-01-28
APTECHT.NS,APTECH LIMITED,2002-09-27
APTUS.NS,APTUS VALUE HOUSING FINANCE INDIA LIMITED,2021-08-24
AQYLON.NS,AQYLON NEXUS LIMITED,2024-04-01
ARCHIDPLY.NS,ARCHIDPLY INDUSTRIES LIMITED,2008-07-04
ARCHIES.NS,ARCHIES LIMITED,1998-09-02
ARE&M.NS,AMARA RAJA ENERGY & MOBILITY LIMITED,2003-09-05
ARENTERP.NS,RAJDARSHAN INDUSTRIES LIMITED,1995-10-18
ARFIN.NS,ARFIN INDIA LIMITED,2025-07-22
ARIES.NS,ARIES AGRO LIMITED,2008-01-11
ARIHANT.NS,ARIHANT FOUNDATIONS & HOUSING LIMITED,2026-04-20
ARIHANTCAP.NS,ARIHANT CAPITAL MARKETS LIMITED,2021-06-15
ARIHANTSUP.NS,ARIHANT SUPERSTRUCTURES LIMITED,2017-03-28
ARIS.NS,ARISINFRA SOLUTIONS LIMITED,2025-06-25
ARKADE.NS,ARKADE DEVELOPERS LIMITED,2024-09-24
ARMANFIN.NS,ARMAN FINANCIAL SERVICES LIMITED,2016-06-14
AROGRANITE.NS,ARO GRANITE INDUSTRIES LIMITED,2007-04-24
ARROWGREEN.NS,ARROW GREENTECH LIMITED,2015-05-21
ARSHIYA.NS,ARSHIYA LIMITED,2009-12-14
ARSSBL.NS,ANAND RATHI SHARE AND STOCK BROKERS LIMITED,2025-09-30
ARTEMISMED.NS,ARTEMIS MEDICARE SERVICES LIMITED,2020-01-23
ARTNIRMAN.NS,ART NIRMAN LIMITED,2021-10-18
ARVEE.NS,ARVEE LABORATORIES (INDIA) LIMITED,2021-03-22
ARVIND.NS,ARVIND LIMITED,1995-02-08
ARVINDFASN.NS,ARVIND FASHIONS LIMITED,2019-03-08
ARVSMART.NS,ARVIND SMARTSPACES LIMITED,2015-08-26
ASAHIINDIA.NS,ASAHI INDIA GLASS LIMITED,1998-03-18
ASAHISONG.NS,ASAHI SONGWON COLORS LIMITED,2011-08-29
ASAL.NS,AUTOMOTIVE STAMPINGS AND ASSEMBLIES LIMITED,2002-03-12
ASALCBR.NS,ASSOCIATED ALCOHOLS & BREWERIES LTD.,2020-02-12
ASHAPURMIN.NS,ASHAPURA MINECHEM LIMITED,1995-09-20
ASHIANA.NS,ASHIANA HOUSING LIMITED,2011-06-29
ASHIKA.NS,ASHIKA CREDIT CAPITAL LIMITED,2026-04-20
ASHIMASYN.NS,ASHIMA LIMITED,1995-07-27
ASHOKA.NS,ASHOKA BUILDCON LIMITED,2010-10-14
ASHOKAMET.NS,ASHOKA METCAST LIMITED,2023-06-27
ASHOKLEY.NS,ASHOK LEYLAND LIMITED,1995-05-25
ASIANENE.NS,ASIAN ENERGY SERVICES LIMITED,2021-12-09
ASIANHOTNR.NS,ASIAN HOTELS (NORTH) LIMITED,2010-04-07
ASIANPAINT.NS,ASIAN PAINTS LIMITED,1995-05-31
ASIANTILES.NS,ASIAN GRANITO INDIA LIMITED,2007-08-23
ASKAUTOLTD.NS,ASK AUTOMOTIVE LIMITED,2023-11-15
ASMS.NS,AVIO SMART MARKET STACK LIMITED,2023-02-09
ASPINWALL.NS,ASPINWALL AND COMPANY LIMITED,2016-06-14
ASTAR.NS,ASIAN STAR COMPANY LIMITED,2026-04-20
ASTEC.NS,ASTEC LIFESCIENCES LIMITED,2009-11-25
ASTERDM.NS,ASTER DM HEALTHCARE LIMITED,2018-02-26
ASTRAL.NS,ASTRAL LIMITED,2007-03-20
ASTRAMICRO.NS,ASTRA MICROWAVE PRODUCTS LIMITED,2004-11-01
ASTRAZEN.NS,ASTRAZENECA PHARMA INDIA LIMITED,2001-05-04
ASTRON.NS,ASTRON PAPER & BOARD MILL LIMITED,2017-12-29
ATALREAL.NS,ATAL REALTECH LIMITED,2023-05-12
ATAM.NS,ATAM VALVES LIMITED,2023-05-10
ATGL.NS,ADANI TOTAL GAS LIMITED,2018-11-05
ATHERENERG.NS,ATHER ENERGY LIMITED,2025-05-06
ATL.NS,ALLCARGO TERMINALS LIMITED,2023-08-10
ATLANTAA.NS,ATLANTAA LIMITED,2006-09-25
ATLANTAELE.NS,ATLANTA ELECTRICALS LIMITED,2025-09-29
ATLASCYCLE.NS,ATLAS CYCLES (HARYANA) LIMITED,1996-10-23
ATUL.NS,ATUL LIMITED,1998-05-06
ATULAUTO.NS,ATUL AUTO LIMITED,2013-06-26
AUBANK.NS,AU SMALL FINANCE BANK LIMITED,2017-07-10
AURIGROW.NS,AURI GROW INDIA LIMITED,2020-12-24
AURIONPRO.NS,AURIONPRO SOLUTIONS LIMITED,2005-10-25
AUROPHARMA.NS,AUROBINDO PHARMA LIMITED,2000-07-19
AURUM.NS,AURUM PROPTECH LIMITED,2015-08-19
AUSOMENT.NS,AUSOM ENTERPRISE LIMITED,1996-04-17
AUTOAXLES.NS,AUTOMOTIVE AXLES LIMITED,2003-05-29
AUTOIND.NS,AUTOLINE INDUSTRIES LIMITED,2007-01-31
AVADHSUGAR.NS,AVADH SUGAR & ENERGY LIMITED,2017-07-28
AVALON.NS,AVALON TECHNOLOGIES LIMITED,2023-04-18
AVANTEL.NS,AVANTEL LIMITED,2024-07-31
AVANTIFEED.NS,AVANTI FEEDS LIMITED,2015-04-15
AVG.NS,AVG LOGISTICS LIMITED,2023-05-12
AVL.NS,ADITYA VISION LIMITED,2024-11-06
AVONMORE.NS,AVONMORE CAPITAL & MANAGEMENT SERVICES LIMITED,2023-01-04
AVROIND.NS,AVRO INDIA LIMITED,2022-04-07
AVTNPL.NS,AVT NATURAL PRODUCTS LIMITED,2007-01-10
AWFIS.NS,AWFIS SPACE SOLUTIONS LIMITED,2024-05-30
AWHCL.NS,ANTONY WASTE HANDLING CELL LIMITED,2021-01-01
AWL.NS,AWL AGRI BUSINESS LIMITED,2022-02-08
AXISBANK.NS,AXIS BANK LIMITED,1998-11-16
AXISCADES.NS,AXISCADES TECHNOLOGIES LIMITED,2000-12-21
AXITA.NS,AXITA COTTON LIMITED,2022-06-21
AYE.NS,AYE FINANCE LIMITED,2026-02-16
AYMSYNTEX.NS,AYM SYNTEX LIMITED,2015-08-14
AZAD.NS,AZAD ENGINEERING LIMITED,2023-12-28
BAFNAPH.NS,BAFNA PHARMACEUTICALS LIMITED,2020-02-27
BAGFILMS.NS,B.A.G FILMS AND MEDIA LIMITED,2003-10-17
BAIDFIN.NS,BAID FINSERV LIMITED,2023-01-20
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,2008-05-26
BAJAJCON.NS,BAJAJ CONSUMER CARE LIMITED,2010-08-18
BAJAJELEC.NS,BAJAJ ELECTRICALS LIMITED,2007-11-02
BAJAJFINSV.NS,BAJAJ FINSERV LIMITED,2008-05-26
BAJAJHCARE.NS,BAJAJ HEALTHCARE LIMITED,2021-11-25
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LIMITED,2024-09-16
BAJAJHIND.NS,BAJAJ HINDUSTHAN SUGAR LIMITED,1995-05-10
BAJAJHLDNG.NS,BAJAJ HOLDINGS & INVESTMENT LIMITED,1995-03-15
BAJAJINDEF.NS,INDEF MANUFACTURING LIMITED,2025-02-21
BAJAJST.NS,BAJAJ STEEL INDUSTRIES LIMITED,2026-04-20
BAJEL.NS,BAJEL PROJECTS LIMITED,2023-12-19
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,2003-04-01
BALAJEE.NS,SHREE TIRUPATI BALAJEE AGRO TRADING COMPANY LIMITED,2024-09-12
BALAJITELE.NS,BALAJI TELEFILMS LIMITED,2000-11-22
BALAMINES.NS,BALAJI AMINES LIMITED,2007-04-05
BALAXI.NS,BALAXI PHARMACEUTICALS LIMITED,2015-11-30
BALKRISHNA.NS,BALKRISHNA PAPER MILLS LIMITED,2015-07-28
BALKRISIND.NS,BALKRISHNA INDUSTRIES LIMITED,2006-01-27
BALMLAWRIE.NS,BALMER LAWRIE & COMPANY LIMITED,1995-07-06
BALPHARMA.NS,BAL PHARMA LIMITED,2006-05-08
BALRAMCHIN.NS,BALRAMPUR CHINI MILLS LIMITED,1995-02-08
BALUFORGE.NS,BALU FORGE INDUSTRIES LIMITED,2024-04-29
BANARBEADS.NS,BANARAS BEADS LIMITED,1995-07-07
BANARISUG.NS,BANNARI AMMAN SUGARS LIMITED,2003-05-28
BANCOINDIA.NS,BANCO PRODUCTS (I) LIMITED,2006-12-22
BANDHANBNK.NS,BANDHAN BANK LIMITED,2018-03-27
