SYMBOL,STOCK NAME,LISTING DATE
CAMS.NS,COMPUTER AGE MANAGEMENT SERVICES LIMITED,2021-05-07
CANBK.NS,CANARA BANK,2002-12-23
CANFINHOME.NS,CAN FIN HOMES LIMITED,1995-05-10
CANHLIFE.NS,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,2025-10-17
CANTABIL.NS,CANTABIL RETAIL INDIA LIMITED,2010-10-12
CAPACITE.NS,CAPACIT'E INFRAPROJECTS LIMITED,2017-09-25
CAPILLARY.NS,CAPILLARY TECHNOLOGIES INDIA LIMITED,2025-11-21
CAPITALSFB.NS,CAPITAL SMALL FINANCE BANK LIMITED,2024-02-14
CAPLIPOINT.NS,CAPLIN POINT LABORATORIES LIMITED,2014-06-23
CAPTRUST.NS,CAPITAL TRUST LIMITED,2017-01-16
CARBORUNIV.NS,CARBORUNDUM UNIVERSAL LIMITED,1996-04-03
CARERATING.NS,CARE RATINGS LIMITED,2012-12-26
CARRARO.NS,CARRARO INDIA LIMITED,2024-12-30
CARTRADE.NS,CARTRADE TECH LIMITED,2021-08-20
CARYSIL.NS,CARYSIL LIMITED,2021-01-14
CASTROLIND.NS,CASTROL INDIA LIMITED,2014-03-14
CCAVENUE.NS,AVENUESAI LIMITED,2016-04-04
CCCL.NS,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,2007-10-15
CCHHL.NS,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,2015-02-03
CCL.NS,CCL PRODUCTS (INDIA) LIMITED,2004-06-07
CDSL.NS,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,2017-06-30
CEATLTD.NS,CEAT LIMITED,2008-02-01
CEIGALL.NS,CEIGALL INDIA LIMITED,2024-08-08
CEINSYS.NS,CEINSYS TECH LIMITED,2026-02-19
CELEBRITY.NS,CELEBRITY FASHIONS LIMITED,2006-01-12
CELLO.NS,CELLO WORLD LIMITED,2023-11-06
CEMPRO.NS,CEMINDIA PROJECTS LIMITED,1999-02-10
CENTENKA.NS,CENTURY ENKA LIMITED,1995-05-10
CENTEXT.NS,CENTURY EXTRUSIONS LIMITED,2004-07-20
CENTRALBK.NS,CENTRAL BANK OF INDIA,2007-08-21
CENTRUM.NS,CENTRUM CAPITAL LIMITED,2018-04-04
CENTUM.NS,CENTUM ELECTRONICS LIMITED,2007-10-05
CENTURYPLY.NS,CENTURY PLYBOARDS (INDIA) LIMITED,2006-03-23
CERA.NS,CERA SANITARYWARE LIMITED,2007-11-02
CEREBRAINT.NS,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,2013-06-26
CESC.NS,CESC LIMITED,1995-02-08
CEWATER.NS,CONCORD ENVIRO SYSTEMS LIMITED,2024-12-27
CGCL.NS,CAPRI GLOBAL CAPITAL LIMITED,2010-10-29
CGPOWER.NS,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,1995-03-01
CHALET.NS,CHALET HOTELS LIMITED,2019-02-07
CHAMBLFERT.NS,CHAMBAL FERTILIZERS & CHEMICALS LIMITED,1995-06-14
CHEMBOND.NS,CHEMBOND MATERIAL TECHNOLOGIES LIMITED,2019-11-20
CHEMBONDCH.NS,CHEMBOND CHEMICALS LIMITED,2025-07-23
CHEMCON.NS,CHEMCON SPECIALITY CHEMICALS LIMITED,2020-10-01
CHEMFAB.NS,CHEMFAB ALKALIS LIMITED,2018-04-25
CHEMPLASTS.NS,CHEMPLAST SANMAR LIMITED,2021-08-24
CHENNPETRO.NS,CHENNAI PETROLEUM CORPORATION LIMITED,2000-06-07
CHEVIOT.NS,CHEVIOT COMPANY LIMITED,2022-06-20
CHOICEIN.NS,CHOICE INTERNATIONAL LIMITED,2022-04-08
CHOLAFIN.NS,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,1996-05-15
CHOLAHLDNG.NS,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,2017-09-25
CIEINDIA.NS,CIE AUTOMOTIVE INDIA LIMITED,2007-08-30
CIFL.NS,CAPITAL INDIA FINANCE LIMITED,2025-04-17
CINELINE.NS,CINELINE INDIA LIMITED,2012-06-13
CINEVISTA.NS,CINEVISTA LIMITED,2000-05-02
CIPLA.NS,CIPLA LIMITED,1995-02-08
CLEAN.NS,CLEAN SCIENCE AND TECHNOLOGY LIMITED,2021-07-19
CLEANMAX.NS,CLEAN MAX ENVIRO ENERGY SOLUTIONS LIMITED,2026-03-02
CLEDUCATE.NS,CL EDUCATE LIMITED,2017-03-31
CLSEL.NS,CHAMAN LAL SETIA EXPORTS LIMITED,2021-05-12
CMPDI.NS,CENTRAL MINE PLANNING & DESIGN INSTITUTE LIMITED,2026-03-30
CMRGREEN.NS,CMR GREEN TECHNOLOGIES LIMITED,2026-06-10
CMSINFO.NS,CMS INFO SYSTEMS LIMITED,2021-12-31
CNL.NS,CREATIVE NEWTECH LIMITED,2019-08-05
COALINDIA.NS,COAL INDIA LIMITED,2010-11-04
COASTCORP.NS,COASTAL CORPORATION LIMITED,2021-10-08
COCHINSHIP.NS,COCHIN SHIPYARD LIMITED,2017-08-11
COCKERILL.NS,JOHN COCKERILL INDIA LIMITED,2026-04-20
COFFEEDAY.NS,COFFEE DAY ENTERPRISES LIMITED,2015-11-02
COFORGE.NS,COFORGE LIMITED,2004-08-30
COHANCE.NS,COHANCE LIFESCIENCES LIMITED,2020-03-09
COLPAL.NS,COLGATE PALMOLIVE (INDIA) LIMITED,2007-12-17
COMFINTE.NS,COMFORT INTECH LIMITED,2026-04-20
COMPINFO.NS,COMPUAGE INFOCOM LIMITED,2016-07-07
COMPUSOFT.NS,COMPUCOM SOFTWARE LIMITED,2012-03-02
COMSYN.NS,COMMERCIAL SYN BAGS LIMITED,2024-01-23
CONCOR.NS,CONTAINER CORPORATION OF INDIA LIMITED,1997-05-07
CONCORDBIO.NS,CONCORD BIOTECH LIMITED,2023-08-18
CONFIPET.NS,CONFIDENCE PETROLEUM INDIA LIMITED,2019-06-13
CONSOFINVT.NS,CONSOLIDATED FINVEST & HOLDINGS LIMITED,2005-03-29
CONTROLPR.NS,CONTROL PRINT LIMITED,2016-06-24
CORALFINAC.NS,CORAL INDIA FINANCE & HOUSING LIMITED,1996-03-25
CORDSCABLE.NS,CORDS CABLE INDUSTRIES LIMITED,2008-02-13
COROMANDEL.NS,COROMANDEL INTERNATIONAL LIMITED,1995-05-31
CORONA.NS,CORONA REMEDIES LIMITED,2025-12-15
COSMOFIRST.NS,COSMO FIRST LIMITED,1995-05-25
COUNCODOS.NS,COUNTRY CONDO'S LIMITED,2009-01-22
CPCAP.NS,CP CAPITAL LIMITED,2010-10-06
CPEDU.NS,CAREER POINT EDUTECH LIMITED,2025-09-05
CPPLUS.NS,ADITYA INFOTECH LIMITED,2025-08-05
CRAFTSMAN.NS,CRAFTSMAN AUTOMATION LIMITED,2021-03-25
CRAMC.NS,CANARA ROBECO ASSET MANAGEMENT COMPANY LIMITED,2025-10-16
CREATIVEYE.NS,CREATIVE EYE LIMITED,2000-12-20
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,2018-08-23
CREST.NS,CREST VENTURES LIMITED,2006-12-27
CRISIL.NS,CRISIL LIMITED,1995-06-28
CRIZAC.NS,CRIZAC LIMITED,2025-07-09
CROMPTON.NS,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,2016-05-13
CROWN.NS,CROWN LIFTERS LIMITED,2022-02-08
CSBBANK.NS,CSB BANK LIMITED,2019-12-04
CSLFINANCE.NS,CSL FINANCE LIMITED,2022-07-21
CTE.NS,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,2007-02-07
CUB.NS,CITY UNION BANK LIMITED,1998-08-25
CUBEXTUB.NS,CUBEX TUBINGS LIMITED,1996-04-24
CUMMINSIND.NS,CUMMINS INDIA LIMITED,1995-03-29
CUPID.NS,CUPID LIMITED,2016-09-16
CURAA.NS,CURA TECHNOLOGIES LIMITED,2025-03-21
CYBERMEDIA.NS,CYBER MEDIA (INDIA) LIMITED,2005-06-10
CYBERTECH.NS,CYBERTECH SYSTEMS AND SOFTWARE LIMITED,1999-01-27
CYIENT.NS,CYIENT LIMITED,1998-09-30
CYIENTDLM.NS,CYIENT DLM LIMITED,2023-07-10
DABUR.NS,DABUR INDIA LIMITED,1999-04-28
DAICHI.NS,DAI-ICHI KARKARIA LIMITED,2026-04-20
DALBHARAT.NS,DALMIA BHARAT LIMITED,2019-01-22
DALMIASUG.NS,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,1996-01-17
DAMCAPITAL.NS,DAM CAPITAL ADVISORS LIMITED,2024-12-27
DAMODARIND.NS,DAMODAR INDUSTRIES LIMITED,2016-07-04
DANGEE.NS,DANGEE DUMS LIMITED,2020-11-13
DATAMATICS.NS,DATAMATICS GLOBAL SERVICES LIMITED,2004-05-07
DATAPATTNS.NS,DATA PATTERNS (INDIA) LIMITED,2021-12-24
DAVANGERE.NS,DAVANGERE SUGAR COMPANY LIMITED,2024-01-25
DBCORP.NS,D.B.CORP LIMITED,2010-01-06
DBEIL.NS,DEEPAK BUILDERS & ENGINEERS INDIA LIMITED,2024-10-28
DBL.NS,DILIP BUILDCON LIMITED,2016-08-11
DBOL.NS,DHAMPUR BIO ORGANICS LIMITED,2022-09-08
DBREALTY.NS,VALOR ESTATE LIMITED,2010-02-24
DBSTOCKBRO.NS,DB (INTERNATIONAL) STOCK BROKERS LIMITED,2012-02-29
DCAL.NS,DISHMAN CARBOGEN AMCIS LIMITED,2017-09-21
DCBBANK.NS,DCB BANK LIMITED,2006-10-27
DCI.NS,DC INFOTECH AND COMMUNICATION LIMITED,2022-10-19
DCM.NS,DCM  LIMITED,1995-03-29
DCMFINSERV.NS,DCM FINANCIAL SERVICES LIMITED,1997-05-21
DCMNVL.NS,DCM NOUVELLE LIMITED,2019-07-16
DCMSHRIRAM.NS,DCM SHRIRAM LIMITED,1995-04-12
DCMSIL.NS,DCM SHRIRAM INTERNATIONAL LIMITED,2026-02-17
DCMSRIND.NS,DCM SHRIRAM INDUSTRIES LIMITED,2021-12-24
DCW.NS,DCW LIMITED,1995-05-25
DCXINDIA.NS,DCX SYSTEMS LIMITED,2022-11-11
DDEVPLSTIK.NS,DDEV PLASTIKS INDUSTRIES LIMITED,2025-01-15
DECCANCE.NS,DECCAN CEMENTS LIMITED,2007-08-02
DECNGOLD.NS,DECCAN GOLD MINES LIMITED,2026-04-20
DEEDEV.NS,DEE DEVELOPMENT ENGINEERS LIMITED,2024-06-26
DEEPAKFERT.NS,DEEPAK FERTILIZERS AND PETROCHEMICALS CORPORATION LIMITED,2003-01-17
DEEPAKNTR.NS,DEEPAK NITRITE LIMITED,2010-09-29
DEEPINDS.NS,DEEP INDUSTRIES LIMITED,2021-04-27
DELHIVERY.NS,DELHIVERY LIMITED,2022-05-24
DELPHIFX.NS,DELPHI WORLD MONEY LIMITED,2011-06-28
DELTACORP.NS,DELTA CORP LIMITED,2007-11-02
DELTAMAGNT.NS,DELTA MANUFACTURING LIMITED,1995-10-18
DEN.NS,DEN NETWORKS LIMITED,2009-11-24
DENORA.NS,DE NORA INDIA LIMITED,1997-08-07
DENTA.NS,DENTA WATER AND INFRA SOLUTIONS LIMITED,2025-01-29
DEVIT.NS,DEV INFORMATION TECHNOLOGY LIMITED,2022-02-15
DEVX.NS,DEV ACCELERATOR LIMITED,2025-09-17
DEVYANI.NS,DEVYANI INTERNATIONAL LIMITED,2021-08-16
DGCONTENT.NS,DIGICONTENT LIMITED,2019-06-18
DHAMPURSUG.NS,DHAMPUR SUGAR MILLS LIMITED,1995-03-29
DHANBANK.NS,DHANLAXMI BANK LIMITED,2004-04-01
DHANUKA.NS,DHANUKA AGRITECH LIMITED,2011-06-29
DHARAN.NS,DHARAN INFRA-EPC LIMITED,2018-04-02
DHARMAJ.NS,DHARMAJ CROP GUARD LIMITED,2022-12-08
DHRUV.NS,DHRUV CONSULTANCY SERVICES LIMITED,2021-11-25
DHUNINV.NS,DHUNSERI INVESTMENTS LIMITED,2011-03-18
DIACABS.NS,DIAMOND POWER INFRASTRUCTURE LIMITED,2023-09-15
DIAMINESQ.NS,DIAMINES & CHEMICALS LIMITED,2023-09-25
DIAMONDYD.NS,PRATAAP SNACKS LIMITED,2017-10-05
DICIND.NS,DIC INDIA LIMITED,1995-08-30
DIFFNKG.NS,DIFFUSION ENGINEERS LIMITED,2024-10-04
DIGIDRIVE.NS,DIGIDRIVE DISTRIBUTORS LIMITED,2024-01-10
DIGISPICE.NS,DIGISPICE TECHNOLOGIES LIMITED,2008-05-27
DIGITIDE.NS,DIGITIDE SOLUTIONS LIMITED,2025-06-11
DIGJAMLMTD.NS,DIGJAM LIMITED,2021-10-18
DISAQ.NS,DISA INDIA LIMITED,2026-04-20
DISHTV.NS,DISH TV INDIA LIMITED,2007-04-18
DIVGIITTS.NS,DIVGI TORQTRANSFER SYSTEMS LIMITED,2023-03-14
DIVISLAB.NS,DIVI'S LABORATORIES LIMITED,2003-03-12
DIXON.NS,DIXON TECHNOLOGIES (INDIA) LIMITED,2017-09-18
DJML.NS,DJ MEDIAPRINT & LOGISTICS LIMITED,2022-12-05
DLF.NS,DLF LIMITED,2007-07-05
DLINKINDIA.NS,D-LINK (INDIA) LIMITED,2009-12-18
DMART.NS,AVENUE SUPERMARTS LIMITED,2017-03-21
DMCC.NS,DMCC SPECIALITY CHEMICALS LIMITED,2021-12-01
DNAMEDIA.NS,DILIGENT MEDIA CORPORATION LIMITED,2017-12-11
DODLA.NS,DODLA DAIRY LIMITED,2021-06-28
DOLATALGO.NS,DOLAT ALGOTECH LIMITED,2024-01-12
DOLLAR.NS,DOLLAR INDUSTRIES LIMITED,2017-04-21
DOLPHIN.NS,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED,2023-08-21
DOMS.NS,DOMS INDUSTRIES LIMITED,2023-12-20
DONEAR.NS,DONEAR INDUSTRIES LIMITED,2006-12-20
DPABHUSHAN.NS,D. P. ABHUSHAN LIMITED,2020-11-03
DPSCLTD.NS,DPSC LIMITED,2008-04-21
DPWIRES.NS,D P WIRES LIMITED,2020-01-17
DRAGARWQ.NS,DR AGARWALS EYE HOSPITAL LIMITED,2026-04-20
DRCSYSTEMS.NS,DRC SYSTEMS INDIA LIMITED,2021-03-10
DREAMFOLKS.NS,DREAMFOLKS SERVICES LIMITED,2022-09-06
DREDGECORP.NS,DREDGING CORPORATION OF INDIA LIMITED,2004-01-15
DRREDDY.NS,DR. REDDY'S LABORATORIES LIMITED,2003-05-30
DSFCL.NS,DCM SHRIRAM FINE CHEMICALS LIMITED,2026-02-17
DSSL.NS,DYNACONS SYSTEMS & SOLUTIONS LIMITED,2011-12-01
DTIL.NS,DHUNSERI TEA & INDUSTRIES LIMITED,2015-01-20
DUCON.NS,DUCON INFRATECHNOLOGIES LIMITED,2012-10-09
DVL.NS,DHUNSERI VENTURES LIMITED,2008-01-11
DWARKESH.NS,DWARIKESH SUGAR INDUSTRIES LIMITED,2004-12-31
DYCL.NS,DYNAMIC CABLES LIMITED,2022-07-27
DYNAMATECH.NS,DYNAMATIC TECHNOLOGIES LIMITED,2006-09-14
DYNPRO.NS,DYNEMIC PRODUCTS LIMITED,2017-07-19
E2E.NS,E2E NETWORKS LIMITED,2022-04-12
EASEMYTRIP.NS,EASY TRIP PLANNERS LIMITED,2021-03-19
EASTSILK.NS,EASTERN SILK INDUSTRIES LIMITED,1996-07-03
EBGNG.NS,GNG ELECTRONICS LIMITED,2025-07-30
ECLERX.NS,ECLERX SERVICES LIMITED,2007-12-31
ECOSMOBLTY.NS,ECOS (INDIA) MOBILITY & HOSPITALITY LIMITED,2024-09-04
EDELWEISS.NS,EDELWEISS FINANCIAL SERVICES LIMITED,2007-12-12
EFCIL.NS,EFC (I) LIMITED,2025-08-20
EICHERMOT.NS,EICHER MOTORS LIMITED,2004-09-07
EIDPARRY.NS,EID PARRY INDIA LIMITED,1995-05-10
EIEL.NS,ENVIRO INFRA ENGINEERS LIMITED,2024-11-29
EIFFL.NS,EURO INDIA FRESH FOODS LIMITED,2021-10-12
EIHAHOTELS.NS,EIH ASSOCIATED HOTELS LIMITED,2008-04-08
EIHOTEL.NS,EIH LIMITED,1995-02-08
EIMCOELECO.NS,EIMCO ELECON (INDIA) LIMITED,1996-04-17
EKC.NS,EVEREST KANTO CYLINDER LIMITED,2005-12-15
ELANTAS.NS,ELANTAS BECK INDIA LIMITED,2026-04-20
ELCIDIN.NS,EL CID INVESTMENTS LIMITED,2026-04-20
ELDEHSG.NS,ELDECO HOUSING AND INDUSTRIES LIMITED,2022-04-12
ELECON.NS,ELECON ENGINEERING COMPANY LIMITED,2006-09-29
ELECTCAST.NS,ELECTROSTEEL CASTINGS LIMITED,2003-06-20
ELECTHERM.NS,ELECTROTHERM (INDIA) LIMITED,2007-08-20
ELGIEQUIP.NS,ELGI EQUIPMENTS LIMITED,1995-11-22
ELGIRUBCO.NS,ELGI RUBBER COMPANY LIMITED,2011-08-10
ELIN.NS,ELIN ELECTRONICS LIMITED,2022-12-30
ELITECON.NS,ELITECON INTERNATIONAL LIMITED,2026-04-20
ELLEN.NS,ELLENBARRIE INDUSTRIAL GASES LIMITED,2025-07-01
ELPROINTL.NS,ELPRO INTERNATIONAL LIMITED,2026-04-20
EMAMILTD.NS,EMAMI LIMITED,2006-08-03
EMAMIPAP.NS,EMAMI PAPER MILLS LIMITED,2019-05-30
EMAMIREAL.NS,EMAMI REALTY LIMITED,2010-07-28
EMBDL.NS,EMBASSY DEVELOPMENTS LIMITED,2007-03-23
EMCURE.NS,EMCURE PHARMACEUTICALS LIMITED,2024-07-10
EMIL.NS,ELECTRONICS MART INDIA LIMITED,2022-10-17
EMKAY.NS,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,2006-04-28
EMMBI.NS,EMMBI INDUSTRIES LIMITED,2010-02-24
EMMVEE.NS,EMMVEE PHOTOVOLTAIC POWER LIMITED,2025-11-18
EMPOWER.NS,EMPOWER INDIA LIMITED,2026-04-20
EMSLIMITED.NS,EMS LIMITED,2023-09-21
EMUDHRA.NS,EMUDHRA LIMITED,2022-06-01
ENDURANCE.NS,ENDURANCE TECHNOLOGIES LIMITED,2016-10-19
ENERGYDEV.NS,ENERGY DEVELOPMENT COMPANY LIMITED,2007-11-02
ENGINERSIN.NS,ENGINEERS INDIA LIMITED,1997-08-20
ENIL.NS,ENTERTAINMENT NETWORK (INDIA) LIMITED,2006-02-15
ENRIN.NS,SIEMENS ENERGY INDIA LIMITED,2025-06-19
ENTERO.NS,ENTERO HEALTHCARE SOLUTIONS LIMITED,2024-02-16
EPACK.NS,EPACK DURABLE LIMITED,2024-01-30
EPACKPEB.NS,EPACK PREFAB TECHNOLOGIES LIMITED,2025-10-01
EPIGRAL.NS,EPIGRAL LIMITED,2021-08-18
EPL.NS,EPL LIMITED,2002-02-11
EQUIPPP.NS,EQUIPPP SOCIAL IMPACT TECHNOLOGIES LIMITED,2021-05-19
EQUITASBNK.NS,EQUITAS SMALL FINANCE BANK LIMITED,2020-11-02
ERIS.NS,ERIS LIFESCIENCES LIMITED,2017-06-29
ESABINDIA.NS,ESAB INDIA LIMITED,1995-11-01
ESAFSFB.NS,ESAF SMALL FINANCE BANK LIMITED,2023-11-10
ESCORTS.NS,ESCORTS KUBOTA LIMITED,1995-03-01
ESSARSHPNG.NS,ESSAR SHIPPING LIMITED,2011-11-15
ESSENTIA.NS,INTEGRA ESSENTIA LIMITED,2013-08-20
ESTER.NS,ESTER INDUSTRIES LIMITED,2011-06-20
ETERNAL.NS,ETERNAL LIMITED,2021-07-23
ETHOSLTD.NS,ETHOS LIMITED,2022-05-30
EUREKAFORB.NS,EUREKA FORBES LIMITED,2024-09-11
EUROBOND.NS,EURO PANEL PRODUCTS LIMITED,2025-08-01
EUROPRATIK.NS,EURO PRATIK SALES LIMITED,2025-09-23
EUROTEXIND.NS,EUROTEX INDUSTRIES AND EXPORTS LIMITED,1996-01-31
EVEREADY.NS,EVEREADY INDUSTRIES INDIA LIMITED,2005-04-27
EVERESTIND.NS,EVEREST INDUSTRIES LIMITED,1995-03-29
EXCELINDUS.NS,EXCEL INDUSTRIES LIMITED,2004-06-16
EXCELSOFT.NS,EXCELSOFT TECHNOLOGIES LIMITED,2025-11-26
EXICOM.NS,EXICOM TELE-SYSTEMS LIMITED,2024-03-05
EXIDEIND.NS,EXIDE INDUSTRIES LIMITED,2003-06-17
EXPLEOSOL.NS,EXPLEO SOLUTIONS LIMITED,2009-10-26
EXXARO.NS,EXXARO TILES LIMITED,2021-08-16
FABTECH.NS,FABTECH TECHNOLOGIES LIMITED,2025-10-07
FACT.NS,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,1995-04-12
FAIRCHEMOR.NS,FAIRCHEM ORGANICS LIMITED,2020-12-24
FAZE3Q.NS,FAZE THREE LIMITED,2022-11-18
FCL.NS,FINEOTEX CHEMICAL LIMITED,2015-01-15
FCSSOFT.NS,FCS SOFTWARE SOLUTIONS LIMITED,2005-09-21
FDC.NS,FDC LIMITED,1997-08-07
FEDDERSHOL.NS,FEDDERS HOLDING LIMITED,2026-04-20
FEDERALBNK.NS,THE FEDERAL BANK  LIMITED,1995-02-08
FEDFINA.NS,FEDBANK FINANCIAL SERVICES LIMITED,2023-11-30
FEL.NS,FUTURE ENTERPRISES LIMITED,2001-11-05
FELDVR.NS,FUTURE ENTERPRISES LIMITED,2009-02-13
FERMENTA.NS,FERMENTA BIOTECH LIMITED,2026-04-20
FIBERWEB.NS,FIBERWEB (INDIA) LIMITED,2022-02-16
FIEMIND.NS,FIEM INDUSTRIES LIMITED,2006-10-19
FILATEX.NS,FILATEX INDIA LIMITED,2011-08-29
FILATFASH.NS,FILATEX FASHIONS LIMITED,2024-05-06
FINCABLES.NS,FINOLEX CABLES LIMITED,1995-02-15
FINEORG.NS,FINE ORGANIC INDUSTRIES LIMITED,2018-07-02
FINKURVE.NS,FINKURVE FINANCIAL SERVICES LIMITED,2025-10-01
FINOPB.NS,FINO PAYMENTS BANK LIMITED,2021-11-12
FINPIPE.NS,FINOLEX INDUSTRIES LIMITED,1995-02-08
FIRSTCRY.NS,BRAINBEES SOLUTIONS LIMITED,2024-08-13
FISCHER.NS,FISCHER MEDICAL VENTURES LIMITED,2025-07-10
FIVESTAR.NS,FIVE-STAR BUSINESS FINANCE LIMITED,2022-11-21
FLAIR.NS,FLAIR WRITING INDUSTRIES LIMITED,2023-12-01
FLEXITUFF.NS,FLEXITUFF VENTURES INTERNATIONAL LIMITED,2011-10-19
FLFL.NS,FUTURE LIFESTYLE FASHIONS LIMITED,2013-10-01
FLUOROCHEM.NS,GUJARAT FLUOROCHEMICALS LIMITED,2019-10-16
FMGOETZE.NS,FEDERAL-MOGUL GOETZE (INDIA) LIMITED.,1995-02-08
FMNL.NS,FUTURE MARKET NETWORKS LIMITED,2010-12-31
FOCUS.NS,FOCUS LIGHTING AND FIXTURES LIMITED,2021-11-24
FOODSIN.NS,FOODS & INNS LIMITED,2021-11-16
FORCEMOT.NS,FORCE MOTORS LTD,2024-02-14
FORTIS.NS,FORTIS HEALTHCARE LIMITED,2007-05-09
FOSECOIND.NS,FOSECO INDIA LIMITED,2003-05-05
FRACTAL.NS,FRACTAL ANALYTICS LIMITED,2026-02-16
FRONTSP.NS,FRONTIER SPRINGS LIMITED,2026-04-20
FSL.NS,FIRSTSOURCE SOLUTIONS LIMITED,2007-02-22
FUSION.NS,FUSION FINANCE LIMITED,2022-11-15
GABRIEL.NS,GABRIEL INDIA LIMITED,2005-04-20
GAEL.NS,GUJARAT AMBUJA EXPORTS LIMITED,2000-10-11
GAIL.NS,GAIL (INDIA) LIMITED,1997-04-02
GALAPREC.NS,GALA PRECISION ENGINEERING LIMITED,2024-09-09
GALAXYSURF.NS,GALAXY SURFACTANTS LIMITED,2018-02-08
GALLANTT.NS,GALLANTT ISPAT LIMITED,2006-04-04
GANDHAR.NS,GANDHAR OIL REFINERY (INDIA) LIMITED,2023-11-30
GANDHITUBE.NS,GANDHI SPECIAL TUBES LIMITED,2007-01-31
GANECOS.NS,GANESHA ECOSPHERE LIMITED,2015-03-09
GANESHBE.NS,GANESH BENZOPLAST LIMITED,2021-09-16
GANESHCP.NS,GANESH CONSUMER PRODUCTS LIMITED,2025-09-29
GANESHHOU.NS,GANESH HOUSING LIMITED,2007-03-02
GANGAFORGE.NS,GANGA FORGING LIMITED,2021-07-06
GANGESSECU.NS,GANGES SECURITIES LIMITED,2017-07-28
GARFIBRES.NS,GARWARE TECHNICAL FIBRES LIMITED,2007-04-03
GARUDA.NS,GARUDA CONSTRUCTION AND ENGINEERING LIMITED,2024-10-15
GATECH.NS,GACM TECHNOLOGIES LIMITED,2016-07-25
GATECHDVR.NS,GACM TECHNOLOGIES LIMITED,2017-10-10
GATEWAY.NS,GATEWAY DISTRIPARKS LIMITED,2022-03-22
GAUDIUMIVF.NS,GAUDIUM IVF AND WOMEN HEALTH LIMITED,2026-02-27
GAYAHWS.NS,GAYATRI HIGHWAYS LIMITED,2018-06-28
GAYAPROJ.NS,GAYATRI PROJECTS LIMITED,2011-08-22
GCSL.NS,GRETEX CORPORATE SERVICES LIMITED,2025-09-04
GEECEE.NS,GEECEE VENTURES LIMITED,2006-10-04
GEEKAYWIRE.NS,GEEKAY WIRES LIMITED,2020-03-06
GEMAROMA.NS,GEM AROMATICS LIMITED,2025-08-26
GENCON.NS,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED,2021-02-16
GENESYS.NS,GENESYS INTERNATIONAL CORPORATION LIMITED,2003-01-23
GENUSPAPER.NS,GENUS PAPER & BOARDS LIMITED,2015-02-16
GENUSPOWER.NS,GENUS POWER INFRASTRUCTURES LIMITED,2005-07-08
GEOJITFSL.NS,GEOJIT FINANCIAL SERVICES LIMITED,2005-07-01
GESHIP.NS,THE GREAT EASTERN SHIPPING COMPANY LIMITED,2006-11-27
GFLLIMITED.NS,GFL LIMITED,1995-05-25
GHCL.NS,GHCL LIMITED,2003-07-31
GHCLTEXTIL.NS,GHCL TEXTILES LIMITED,2023-06-12
GICHSGFIN.NS,GIC HOUSING FINANCE LIMITED,1996-05-08
GICL.NS,GLOBE INTERNATIONAL CARRIERS LIMITED,2026-02-18
GICRE.NS,GENERAL INSURANCE CORPORATION OF INDIA,2017-10-25
GILLANDERS.NS,GILLANDERS ARBUTHNOT & COMPANY LIMITED,2009-12-14
GILLETTE.NS,GILLETTE INDIA LIMITED,2003-07-30
GINNIFILA.NS,GINNI FILAMENTS LIMITED,1995-05-10
GIPCL.NS,GUJARAT INDUSTRIES POWER COMPANY LIMITED,1995-02-08
GKENERGY.NS,GK ENERGY LIMITED,2025-09-26
GKSL.NS,GUJARAT KIDNEY AND SUPER SPECIALITY LIMITED,2025-12-30
GKWLIMITED.NS,GKW LIMITED,2009-07-20
GLAND.NS,GLAND PHARMA LIMITED,2020-11-20
GLAXO.NS,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,2000-12-15
GLENMARK.NS,GLENMARK PHARMACEUTICALS LIMITED,2000-02-07
GLFL.NS,GUJARAT LEASE FINANCING LIMITED,1995-02-08
GLOBAL.NS,GLOBAL EDUCATION LIMITED,2020-12-07
GLOBALE.NS,GLOBALE TESSILE LIMITED,2024-08-27
GLOBALVECT.NS,GLOBAL VECTRA HELICORP LIMITED,2006-10-27
GLOBE.NS,GLOBE ENTERPRISES (INDIA) LIMITED,2020-10-07
GLOBECIVIL.NS,GLOBE CIVIL PROJECTS LIMITED,2025-07-01
GLOBUSSPR.NS,GLOBUS SPIRITS LIMITED,2009-09-23
GLOSTERLTD.NS,GLOSTER LIMITED,2024-04-26
GLOTTIS.NS,GLOTTIS LIMITED,2025-10-07
